oldName,needsRename,newName
patchContextEventsFromEdits,Y,extractPatchContextEvents
pickCurrentPath,N,pickCurrentPath
plainLineEntries,Y,buildPlainLineEntries
populateFileSelect,N,populateFileSelect
prevMatch,Y,selectPrevMatch
printConflicts,N,printConflicts
printfIsLiteral,Y,isPrintfContentLiteral
printfSpan,Y,extractPrintfSpan
printSummary,N,printSummary
printTables,N,printTables
printUsage,N,printUsage
printVerdict,N,printVerdict
printVerifyText,N,printVerifyText
probeOneFileIdentity,N,probeOneFileIdentity
probeOneFileIdentityEngineB,N,probeOneFileIdentityEngineB
processJsonlTargets,N,processJsonlTargets
processOneAbsentFile,N,processOneAbsentFile
processOnePresentFile,N,processOnePresentFile
processSingleJsonlFile,N,processSingleJsonlFile
processStepWithRewind,N,processStepWithRewind
processSubfolder,N,processSubfolder
promotePerLineStatus,N,promotePerLineStatus
q,Y,runGitCommand
rc,Y,extractRedirectContent
readBackupFile,N,readBackupFile
readChunk,N,readChunk
readChunkOfFive,N,readChunkOfFive
readChunkRows,N,readChunkRows
readEventsForFile,N,readEventsForFile
readExistingMismatches,N,readExistingMismatches
readProvedEof,N,readProvedEof
readResultStdout,N,readResultStdout
readsForFile,Y,getReadsForFile
readSnapshotBackup,N,readSnapshotBackup
readTranscriptTexts,Y,loadTranscriptTexts
rebuildEntriesForSplice,N,rebuildEntriesForSplice
reconstructFromFolder,N,reconstructFromFolder
reconstructFromJSONLTexts,N,reconstructFromJSONLTexts
reconstructWithSidecarEngine,N,reconstructWithSidecarEngine
reconstructWithUnifiedEngine,N,reconstructWithUnifiedEngine
recordKind,Y,classifyRecordKind
recordPatch,Y,appendPatchRecord
recordTimestampAt,Y,getTimestampAtRecord
recordWithHunkLines,Y,buildRecordWithHunkLines
redirectByLine,N,redirectByLine
redirectContentFromCommand,N,redirectContentFromCommand
redirectEventForOp,N,redirectEventForOp
redirectKindForMode,N,redirectKindForMode
ref,Y,buildRef
referencePathForSource,Y,resolveReferencePathForSource
refForAuthoredEditLine,Y,buildRefForAuthoredEditLine
refForLine,Y,buildRefForLine
regionMatches,Y,checkRegionMatch
registerBashRead,N,registerBashRead
registerReadUse,N,registerReadUse
registerToolUse,N,registerToolUse
relaxFrom,Y,relaxWindowFrom
relaxNeighbor,Y,relaxNeighborWindow
renderAllLines,N,renderAllLines
renderAllLinesFlat,N,renderAllLinesFlat
renderBasePane,N,renderBasePane
renderChain,N,renderChain
renderDiff,N,renderDiff
renderDirNode,N,renderDirNode
renderDivergenceCheck,N,renderDivergenceCheck
renderFileContent,N,renderFileContent
renderFileNode,N,renderFileNode
renderFileTree,N,renderFileTree
renderInlineDiff,N,renderInlineDiff
renderInspector,N,renderInspector
renderNextPane,N,renderNextPane
renderNode,Y,renderTreeNode
renderPlainContent,N,renderPlainContent
renderPlumbing,N,renderPlumbing
renderSingle,Y,renderSingleNode
renderSteps,Y,renderReconstructionStepRows
renderSxsChangeBlock,N,renderSxsChangeBlock
renderSxsDiff,N,renderSxsDiff
renderTree,N,renderTree
replaceToolIds,N,replaceToolIds
replaceUuids,N,replaceUuids
replayAndVerify,N,replayAndVerify
replayAndVerifyCumulative,N,replayAndVerifyCumulative
replayEdits,N,replayEdits
replayParseLines,N,replayParseLines
replayTryParse,N,replayTryParse
resetCompare,N,resetCompare
resolveAbsoluteTargetPath,N,resolveAbsoluteTargetPath
resolveActualState,N,resolveActualState
resolveAgainstCwd,N,resolveAgainstCwd
resolveAliases,N,resolveAliases
resolveAliasPathsForTarget,N,resolveAliasPathsForTarget
resolveAliasWindows,N,resolveAliasWindows
resolveAliasWindowsForTarget,N,resolveAliasWindowsForTarget
resolveAndSetBaseState,N,resolveAndSetBaseState
resolveBaseState,N,resolveBaseState
resolveCatContent,N,resolveCatContent
resolveContentDbPath,N,resolveContentDbPath
resolveGitContent,N,resolveGitContent
resolveGitContentMultiRef,N,resolveGitContentMultiRef
resolveGitContentWithRef,N,resolveGitContentWithRef
resolveGitFromTranscript,N,resolveGitFromTranscript
resolveGitReference,N,resolveGitReference
resolveHistoryDir,N,resolveHistoryDir
resolver,Y,getResolver
resolveReadContent,N,resolveReadContent
resolveRepoRootWalkingUp,N,resolveRepoRootWalkingUp
resolveSnapshotDir,N,resolveSnapshotDir
resolveSymlinksToRealPath,N,resolveSymlinksToRealPath
restoreSegsAndChildren,N,restoreSegsAndChildren
retryWithoutTrailingObservations,N,retryWithoutTrailingObservations
retryWithTrailingNewlineRestored,N,retryWithTrailingNewlineRestored
revealMatching,N,revealMatching
revealNode,N,revealNode
rewindReverts,Y,doRewindReverts
rewritePath,N,rewritePath
rmEventsForOp,Y,extractRmEvents
roleClass,Y,deriveRoleClass
rootFromTranscripts,Y,findProjectRootFromTranscripts
rowIsForFile,Y,isGrepRowForFile
rowOf,Y,formatStatisticsRow
run,N,run
runBatchMode,N,runBatchMode
runProbeEngineB,N,runProbeEngineB
runProbeV2,N,runProbeV2
runReplayOnlyMode,N,runReplayOnlyMode
runSingleFileMode,N,runSingleFileMode
runTests,N,runTests
runVerifyMode,N,runVerifyMode
runWithContext,N,runWithContext
scanFile,N,scanFile
scanLine,N,scanLine
scanProjectsFolderOnce,N,scanProjectsFolderOnce
scanReadEvents,N,scanReadEvents
scanToolUseResults,N,scanToolUseResults
scanTranscripts,N,scanTranscripts
scrollToMatch,N,scrollToMatch
sedScriptGeometry,Y,parseSedScriptGeometry
selectFile,N,selectFile
selectFileOldEngine,N,selectFileOldEngine
selectFileUnifiedEngine,N,selectFileUnifiedEngine
selectNotFoundList2,N,selectNotFoundList2
selectReferencing,N,selectReferencing
sessionWith,Y,buildSessionFixture
setupHorizontalResize,N,setupHorizontalResize
setupPaneResize,N,setupPaneResize
setupVerticalResize,N,setupVerticalResize
sha256hex,Y,computeSha256Hex
shiftByLine,N,shiftByLine
showAllRows,N,showAllRows
showDiff,N,showDiff
showInspect,N,showInspect
showNonStepLine,N,showNonStepLine
showNumberedJson,N,showNumberedJson
showRawInspect,N,showRawInspect
showStep,Y,showStep
showToast,Y,showToast
sidecarConcludesAbsent,Y,checkSidecarAbsence
simpleDiff,Y,buildSimpleDiff
singleQuotedSpan,Y,extractSingleQuotedSpan
sizeTreePane,Y,layoutTreePane
snapshotContext,Y,buildSnapshotTestContext
snapshotDedupKey,Y,buildSnapshotDeduplicationKey
snapshotEvent,Y,buildSnapshotBlobEvent
snapshotEventsForFile,Y,extractSnapshotEventsForFile
snapshotKeyMatchesTarget,Y,doesSnapshotKeyMatchTarget
snapshotLine,Y,buildSnapshotJsonlLine
snapshotRecord,Y,buildSnapshotJsonlRecord
snapshotSource,Y,buildSnapshotReferenceSource
sortBySessionStart,N,sortBySessionStart
spliceArray,Y,applyArraySplice
splicedRunText,Y,applySpliceToRunText
splitContentLines,Y,splitContentIntoLineSpans
splitIntoConsecutiveLineRuns,N,splitIntoConsecutiveLineRuns
splitTwoArgs,N,splitTwoArgs
stageProjectFolder,N,stageProjectFolder
stageSingleCreateFixture,Y,prepareSingleCreateFixture
stampTouchTimestamps,Y,attachTouchTimestamps
stepRowHtml,Y,renderStepRow
stepSource,Y,deriveStepEditSource
stripCatLineNumbers,N,stripCatLineNumbers
stripFlags,N,stripFlags
stripPrefixFromLines,N,stripPrefixFromLines
structuredPatchForEdit,Y,getStructuredPatchForEdit
subagentJsonlsReferencing,Y,findReferencingSubagentJsonls
subtreeAllAttachments,Y,isSubtreeAllAttachments
summarizeBelief,N,summarizeBelief
summarizeByDimension,N,summarizeByDimension
summarizeContent,N,summarizeContent
summarizeList,N,summarizeList
summarizeYield,N,summarizeYield
summary,Y,printTestSummary
syncScroll,Y,synchronizeScroll
syntaxHighlight,Y,highlightJsonSyntax
tallyRecord,Y,accumulateRecordTally
tallyTranscript,Y,accumulateTranscriptTally
test,Y,registerTest
textBlockResult,Y,findFirstTextBlockInToolResult
timestampAt,N,timestampAt
toggleEditSelection,N,toggleEditSelection
toggleEngine,N,toggleEngine
toolResultText,Y,extractToolResultText
toolResultTextOfItem,Y,extractToolResultTextWithProperty
touchedLinesAt,Y,collectTouchedLinesAtTimestamp
touchedPathsForText,Y,collectTouchedPathsFromJsonlText
touchForResult,Y,buildTouchFromToolResult
touchKindForEdit,Y,classifyTouchKind
toVisNode,Y,convertToVisibleNode
traceLcs,Y,traceLongestCommonSubsequencePath
trackFixture,N,trackFixture
trackLineStates,N,trackLineStates
transcriptResolvesRepo,Y,checkTranscriptResolvesRepo
transcriptWithGit,Y,buildTranscriptWithGit
tryGitFallback,N,tryGitFallback
tryGitRoot,N,tryGitRoot
tryParse,N,tryParse
tryParseJson,N,tryParseJson
tryParseUnified,N,tryParseUnified
trySnapshotFallback,N,trySnapshotFallback
unionTouched,Y,collectUnionTouchedPaths
unproveEof,Y,clearEofConfirmation
unquotePath,Y,stripPathQuotes
updateCurrentState,N,updateCurrentState
updateDiffPanes,N,updateDiffPanes
updateExportButtons,N,updateExportButtons
updateFilterPos,N,updateFilterPos
updateInspector,N,updateInspector
updateNavButtons,N,updateNavButtons
updatePanes,N,updatePanes
updateRawInspector,N,updateRawInspector
updateRewindTracking,N,updateRewindTracking
updateStepInfo,N,updateStepInfo
updateStepInspector,N,updateStepInspector
userModifiedEventsFromEdits,Y,extractUserModifiedEventsFromEdits
validateArgs,N,validateArgs
validateCommit,N,validateCommit
verdictIsPerLinePerfect,Y,checkVerdictPerLinePerfect
verifyContent,N,verifyContent
verifyMissingFile,N,verifyMissingFile
verifyOnDiskFile,N,verifyOnDiskFile
verifyViaSnapshot,N,verifyViaSnapshot
visitNeighbors,N,visitNeighbors
walk,Y,walkDirectory
walkContentDbs,N,walkContentDbs
walkOneDb,N,walkOneDb
walkParentChain,N,walkParentChain
withoutEdit,Y,filterWithoutEdit
withTimestamp,Y,stampJsonlRecordTimestamp
withTs,Y,stampJsonlRecordTimestamp
writeBackupBlob,N,writeBackupBlob
writeCompleteAssemblies,N,writeCompleteAssemblies
writeCreateTranscript,N,writeCreateTranscript
writeEditWithHunks,N,writeEditWithHunks
writeEvent,N,writeEvent
writeJsonlFixture,N,writeJsonlFixture
writeJsonReport,N,writeJsonReport
writeOutputFile,N,writeOutputFile
writeResult,N,writeResult
writeSubagentReading,N,writeSubagentReading
writeTranscript,N,writeTranscript
writeWriteAndReadFixture,N,writeWriteAndReadFixture
